d,t,n
0,0,5
0,1,0
0,2,8
0,3,4
0,4,3
0,5,5
0,6,4
0,7,4
0,8,2
0,9,7
0,10,8
0,11,14
0,12,7
0,13,16
0,14,14
0,15,28
0,16,38
0,17,23
0,18,40
0,19,35
0,20,44
0,21,36
0,22,29
0,23,40
0,24,36
0,25,37
0,26,44
0,27,47
0,28,56
0,29,52
0,30,63
0,31,59
0,32,52
0,33,52
0,34,73
0,35,58
0,36,38
0,37,43
0,38,37
0,39,32
0,40,28
0,41,16
0,42,30
0,43,21
0,44,19
0,45,47
0,46,23
0,47,11
1,0,5
1,1,10
1,2,8
1,3,4
1,4,6
1,5,3
1,6,5
1,7,5
1,8,3
1,9,8
1,10,9
1,11,14
1,12,9
1,13,11
1,14,25
1,15,36
1,16,24
1,17,39
1,18,31
1,19,35
1,20,33
1,21,33
1,22,42
1,23,52
1,24,52
1,25,68
1,26,58
1,27,52
1,28,43
1,29,43
1,30,33
1,31,42
1,32,33
1,33,51
1,34,46
1,35,83
1,36,83
1,37,51
1,38,40
1,39,39
1,40,35
1,41,27
1,42,23
1,43,15
1,44,17
1,45,13
1,46,16
1,47,8
2,0,10
2,1,6
2,2,5
2,3,4
2,4,7
2,5,3
2,6,4
2,7,6
2,8,5
2,9,5
2,10,11
2,11,13
2,12,24
2,13,27
2,14,70
2,15,93
2,16,72
2,17,67
2,18,46
2,19,43
2,20,44
2,21,39
2,22,51
2,23,48
2,24,59
2,25,44
2,26,45
2,27,60
2,28,51
2,29,52
2,30,46
2,31,48
2,32,51
2,33,45
2,34,68
2,35,76
2,36,90
2,37,71
2,38,74
2,39,65
2,40,40
2,41,35
2,42,40
2,43,25
2,44,25
2,45,12
2,46,16
2,47,13
3,0,5
3,1,7
3,2,5
3,3,6
3,4,6
3,5,2
3,6,1
3,7,5
3,8,6
3,9,8
3,10,5
3,11,7
3,12,28
3,13,37
3,14,69
3,15,84
3,16,79
3,17,60
3,18,51
3,19,45
3,20,44
3,21,38
3,22,53
3,23,47
3,24,50
3,25,48
3,26,40
3,27,47
3,28,47
3,29,43
3,30,33
3,31,59
3,32,57
3,33,49
3,34,60
3,35,87
3,36,83
3,37,89
3,38,72
3,39,62
3,40,41
3,41,49
3,42,38
3,43,31
3,44,27
3,45,15
3,46,17
3,47,10
4,0,4
4,1,1
4,2,1
4,3,2
4,4,0
4,5,1
4,6,4
4,7,0
4,8,5
4,9,5
4,10,5
4,11,15
4,12,20
4,13,36
4,14,69
4,15,79
4,16,68
4,17,72
4,18,47
4,19,47
4,20,53
4,21,47
4,22,42
4,23,39
4,24,45
4,25,58
4,26,57
4,27,36
4,28,56
4,29,38
4,30,53
4,31,53
4,32,51
4,33,53
4,34,61
4,35,86
4,36,66
4,37,85
4,38,67
4,39,45
4,40,44
4,41,60
4,42,39
4,43,35
4,44,34
4,45,20
4,46,17
4,47,17
5,0,8
5,1,5
5,2,4
5,3,5
5,4,2
5,5,1
5,6,0
5,7,2
5,8,2
5,9,6
5,10,9
5,11,15
5,12,10
5,13,38
5,14,63
5,15,93
5,16,75
5,17,64
5,18,58
5,19,56
5,20,43
5,21,50
5,22,49
5,23,42
5,24,62
5,25,42
5,26,48
5,27,44
5,28,46
5,29,46
5,30,53
5,31,54
5,32,54
5,33,56
5,34,70
5,35,88
5,36,98
5,37,102
5,38,79
5,39,73
5,40,64
5,41,45
5,42,56
5,43,33
5,44,42
5,45,19
5,46,20
5,47,11
6,0,5
6,1,4
6,2,6
6,3,3
6,4,4
6,5,3
6,6,2
6,7,3
6,8,5
6,9,7
6,10,3
6,11,14
6,12,11
6,13,18
6,14,24
6,15,35
6,16,32
6,17,41
6,18,41
6,19,55
6,20,43
6,21,32
6,22,45
6,23,48
6,24,51
6,25,37
6,26,57
6,27,47
6,28,38
6,29,54
6,30,31
6,31,46
6,32,54
6,33,55
6,34,61
6,35,70
6,36,49
6,37,65
6,38,64
6,39,47
6,40,41
6,41,35
6,42,41
6,43,22
6,44,20
6,45,15
6,46,17
6,47,17
7,0,2
7,1,5
7,2,4
7,3,2
7,4,7
7,5,4
7,6,3
7,7,4
7,8,6
7,9,5
7,10,5
7,11,11
7,12,11
7,13,8
7,14,18
7,15,14
7,16,21
7,17,24
7,18,28
7,19,27
7,20,32
7,21,26
7,22,34
7,23,27
7,24,32
7,25,49
7,26,42
7,27,35
7,28,34
7,29,33
7,30,42
7,31,47
7,32,32
7,33,44
7,34,53
7,35,33
7,36,28
7,37,40
7,38,27
7,39,26
7,40,22
7,41,20
7,42,20
7,43,11
7,44,21
7,45,8
7,46,9
7,47,4
8,0,3
8,1,2
8,2,4
8,3,3
8,4,5
8,5,2
8,6,2
8,7,1
8,8,1
8,9,3
8,10,2
8,11,7
8,12,8
8,13,13
8,14,27
8,15,27
8,16,36
8,17,38
8,18,24
8,19,28
8,20,37
8,21,39
8,22,40
8,23,48
8,24,45
8,25,53
8,26,38
8,27,41
8,28,46
8,29,38
8,30,46
8,31,35
8,32,41
8,33,40
8,34,36
8,35,42
8,36,62
8,37,91
8,38,51
8,39,34
8,40,32
8,41,34
8,42,28
8,43,16
8,44,15
8,45,14
8,46,17
8,47,9
9,0,7
9,1,3
9,2,3
9,3,5
9,4,5
9,5,4
9,6,1
9,7,4
9,8,3
9,9,3
9,10,7
9,11,14
9,12,18
9,13,37
9,14,65
9,15,85
9,16,85
9,17,70
9,18,48
9,19,43
9,20,41
9,21,34
9,22,33
9,23,43
9,24,49
9,25,39
9,26,40
9,27,43
9,28,50
9,29,39
9,30,39
9,31,36
9,32,51
9,33,48
9,34,63
9,35,55
9,36,73
9,37,71
9,38,67
9,39,52
9,40,52
9,41,42
9,42,36
9,43,26
9,44,22
9,45,20
9,46,9
9,47,15
10,0,4
10,1,6
10,2,4
10,3,3
10,4,1
10,5,2
10,6,4
10,7,6
10,8,6
10,9,5
10,10,8
10,11,21
10,12,23
10,13,39
10,14,71
10,15,80
10,16,90
10,17,76
10,18,58
10,19,44
10,20,42
10,21,47
10,22,43
10,23,53
10,24,48
10,25,52
10,26,51
10,27,41
10,28,48
10,29,56
10,30,49
10,31,55
10,32,48
10,33,54
10,34,57
10,35,100
10,36,103
10,37,73
10,38,71
10,39,54
10,40,45
10,41,46
10,42,35
