d,t,n
0,0,3
0,1,1
0,2,2
0,3,1
0,4,4
0,5,2
0,6,2
0,7,3
0,8,4
0,9,1
0,10,2
0,11,2
0,12,3
0,13,2
0,14,8
0,15,4
0,16,4
0,17,10
0,18,3
0,19,4
0,20,6
0,21,5
0,22,11
0,23,13
0,24,20
0,25,25
0,26,28
0,27,30
0,28,20
0,29,51
0,30,65
0,31,64
0,32,67
0,33,70
0,34,91
0,35,111
0,36,77
0,37,84
0,38,78
0,39,68
0,40,57
0,41,58
0,42,61
0,43,52
0,44,101
0,45,60
0,46,5
0,47,8
1,0,2
1,1,1
1,2,2
1,3,0
1,4,0
1,5,0
1,6,3
1,7,0
1,8,0
1,9,0
1,10,1
1,11,2
1,12,5
1,13,7
1,14,1
1,15,7
1,16,7
1,17,14
1,18,14
1,19,18
1,20,14
1,21,19
1,22,24
1,23,32
1,24,28
1,25,55
1,26,89
1,27,98
1,28,69
1,29,61
1,30,63
1,31,63
1,32,55
1,33,52
1,34,115
1,35,48
1,36,12
1,37,10
1,38,12
1,39,9
1,40,3
1,41,4
1,42,10
1,43,5
1,44,3
1,45,3
1,46,5
1,47,2
2,0,5
2,1,5
2,2,3
2,3,3
2,4,1
2,5,3
2,6,4
2,7,3
2,8,2
2,9,2
2,10,5
2,11,4
2,12,9
2,13,5
2,14,6
2,15,10
2,16,16
2,17,13
2,18,10
2,19,7
2,20,6
2,21,10
2,22,9
2,23,8
2,24,10
2,25,7
2,26,8
2,27,7
2,28,9
2,29,10
2,30,5
2,31,7
2,32,8
2,33,7
2,34,11
2,35,9
2,36,8
2,37,9
2,38,9
2,39,6
2,40,6
2,41,4
2,42,4
2,43,4
2,44,2
2,45,2
2,46,2
2,47,0
3,0,1
3,1,3
3,2,2
3,3,2
3,4,2
3,5,2
3,6,4
3,7,2
3,8,3
3,9,5
3,10,1
3,11,1
3,12,4
3,13,5
3,14,11
3,15,12
3,16,12
3,17,6
3,18,13
3,19,12
3,20,7
3,21,9
3,22,3
3,23,5
3,24,9
3,25,8
3,26,4
3,27,11
3,28,9
3,29,9
3,30,9
3,31,10
3,32,7
3,33,11
3,34,8
3,35,10
3,36,12
3,37,15
3,38,7
3,39,3
3,40,6
3,41,5
3,42,5
3,43,3
3,44,4
3,45,2
3,46,3
3,47,1
4,0,1
4,1,1
4,2,2
4,3,1
4,4,2
4,5,0
4,6,1
4,7,1
4,8,1
4,9,1
4,10,2
4,11,1
4,12,2
4,13,5
4,14,12
4,15,12
4,16,12
4,17,14
4,18,7
4,19,9
4,20,8
4,21,8
4,22,10
4,23,4
4,24,12
4,25,6
4,26,7
4,27,7
4,28,10
4,29,12
4,30,12
4,31,11
4,32,6
4,33,7
4,34,9
4,35,7
4,36,11
4,37,5
4,38,6
4,39,3
4,40,7
4,41,5
4,42,3
4,43,2
4,44,2
4,45,4
4,46,1
4,47,3
5,0,1
5,1,1
5,2,2
5,3,3
5,4,4
5,5,1
5,6,2
5,7,1
5,8,3
5,9,2
5,10,1
5,11,1
5,12,2
5,13,6
5,14,5
5,15,12
5,16,7
5,17,6
5,18,7
5,19,4
5,20,8
5,21,5
5,22,8
5,23,5
5,24,8
5,25,8
5,26,9
5,27,9
5,28,5
5,29,11
5,30,4
5,31,10
5,32,9
5,33,8
5,34,13
5,35,12
5,36,15
5,37,5
5,38,9
5,39,4
5,40,3
5,41,5
5,42,4
5,43,6
5,44,1
5,45,2
5,46,6
5,47,0
6,0,2
6,1,1
6,2,0
6,3,2
6,4,2
6,5,3
6,6,2
6,7,2
6,8,0
6,9,2
6,10,1
6,11,6
6,12,4
6,13,4
6,14,6
6,15,6
6,16,6
6,17,4
6,18,10
6,19,3
6,20,14
6,21,9
6,22,9
6,23,6
6,24,12
6,25,15
6,26,8
6,27,6
6,28,11
6,29,2
6,30,9
6,31,9
6,32,10
6,33,12
6,34,10
6,35,13
6,36,11
6,37,6
6,38,7
6,39,4
6,40,1
6,41,5
6,42,3
6,43,4
6,44,2
6,45,1
6,46,3
6,47,0
7,0,1
7,1,1
7,2,2
7,3,2
7,4,3
7,5,0
7,6,2
7,7,1
7,8,4
7,9,2
7,10,4
7,11,3
7,12,4
7,13,0
7,14,5
7,15,7
7,16,7
7,17,4
7,18,3
7,19,7
7,20,12
